United States,"392,665","148,043","3,581,986","3,433,943","244,622","244,622",(X),"444,464","187,595","4,474,986","4,287,391","256,869","256,869",(X)
.In Metropolitan Statistical Area,"277,467","279,340","3,107,221","2,827,881","-1,493","231,980","-233,473","368,219","354,980","3,881,871","3,526,891","11,348","243,938","-232,590"
".Abilene, TX Metro Area",505,-25,"2,108","2,133",509,73,436,735,34,"2,677","2,643",676,78,598
".Akron, OH Metro Area","-1,290","-1,840","6,883","8,723",428,526,-98,"-2,204","-2,396","8,559","10,955",94,557,-463
".Albany, GA Metro Area",-644,-77,"1,758","1,835",-584,24,-608,"-1,149",-192,"2,182","2,374",-975,24,-999
".Albany-Lebanon, OR Metro Area",903,-210,"1,430","1,640","1,106",7,"1,099","1,229",-231,"1,810","2,041","1,457",6,"1,451"
".Albany-Schenectady-Troy, NY Metro Area",725,"-1,482","8,239","9,721","2,076",504,"1,572",24,"-1,654","10,349","12,003","1,574",512,"1,062"
".Albuquerque, NM Metro Area","1,080","-1,003","8,857","9,860","1,996",713,"1,283","1,731","-1,126","11,111","12,237","2,788",769,"2,019"
".Alexandria, LA Metro Area",-846,-201,"1,820","2,021",-665,41,-706,"-1,302",-264,"2,243","2,507","-1,060",41,"-1,101"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","3,605","-1,466","8,206","9,672","4,977",782,"4,195","3,421","-1,781","10,258","12,039","5,143",825,"4,318"
".Altoona, PA Metro Area",-751,-701,"1,167","1,868",-72,6,-78,"-1,055",-898,"1,447","2,345",-170,6,-176
".Amarillo, TX Metro Area",883,146,"3,131","2,985",769,139,630,"1,012",216,"3,954","3,738",821,138,683
".Ames, IA Metro Area",889,41,"1,013",972,827,258,569,943,93,"1,284","1,191",828,271,557
".Anchorage, AK Metro Area",710,"2,051","5,048","2,997","-1,300",331,"-1,631",479,"2,577","6,344","3,767","-2,081",346,"-2,427"
".Ann Arbor, MI Metro Area","-2,266",347,"3,367","3,020","-2,644",375,"-3,019","-2,868",497,"4,262","3,765","-3,408",390,"-3,798"
