State,County,Per capita personal income1_Dollars_2019,Per capita personal income1_Dollars_2020,Per capita personal income1_Dollars_2021,Metropolitan
Texas,Travis,73299,73982,81708,Austin
Texas,Williamson,54444,57236,62931,Austin
Georgia,Clayton,28280,32446,36056,Atlanta
Georgia,Cobb,60261,63105,67616,Atlanta
Georgia,DeKalb,53152,57129,61861,Atlanta
Georgia,Fulton,95148,95825,102074,Atlanta
Georgia,Gwinnett,43158,46705,50256,Atlanta
Georgia,Henry,39910,43389,46961,Atlanta
Georgia,Rockdale,35602,39358,43042,Atlanta
California,Amador,44121,47790,49752,Sacramento
California,Contra Costa,81782,88910,99312,Sacramento
California,El Dorado,69408,74679,78525,Sacramento
California,Placer,68351,73261,76849,Sacramento
California,Sacramento,53005,57991,61829,Sacramento
California,San Joaquin,45547,51766,57783,Sacramento
California,Sutter,44212,49710,53017,Sacramento
California,Yolo,55724,60918,64468,Sacramento
